-0.0,-0.06,7.19,72.0,121.0,0.0,0.0,82.0
-0.0,-0.06,7.19,71.0,123.0,0.0,0.0,78.0
-0.0,-0.06,7.19,75.0,122.0,0.0,0.0,79.0
-0.0,-0.06,7.19,73.0,123.0,0.0,0.0,76.0
-0.0,-0.06,7.19,73.0,123.0,0.0,0.0,80.0
-0.0,-0.06,7.19,73.0,123.0,0.0,0.0,78.0
-0.0,-0.06,7.19,76.0,125.0,0.0,0.0,77.0
-0.0,-0.06,7.19,73.0,121.0,0.0,0.0,79.0
-0.0,-0.06,7.19,75.0,124.0,0.0,0.0,79.0
-0.0,-0.06,7.19,73.0,124.0,0.0,0.0,81.0
-0.0,-0.06,7.19,75.0,123.0,0.0,0.0,81.0
-0.0,-0.06,7.19,76.0,120.0,0.0,0.0,78.0
-0.0,-0.06,7.19,74.0,123.0,0.0,0.0,78.0
-0.0,-0.06,7.19,72.0,123.0,0.0,0.0,75.0
-0.0,-0.06,7.19,74.0,123.0,0.0,0.0,79.0
-0.0,-0.06,7.19,73.0,122.0,0.0,0.0,78.0
-0.0,-0.06,7.19,72.0,125.0,0.0,0.0,80.0
-0.0,-0.06,7.19,75.0,122.0,0.0,0.0,78.0
-0.0,-0.06,7.19,73.0,124.0,0.0,0.0,78.0
-0.0,-0.06,7.19,72.0,126.0,0.0,0.0,78.0
-0.0,-0.06,7.19,73.0,121.0,0.0,0.0,81.0
-0.0,-0.06,218.88,70.0,122.0,0.0,0.0,77.0
-0.0,-0.06,360.0,74.0,124.0,0.0,0.0,81.0
-0.0,-0.06,360.0,73.0,123.0,0.0,0.0,76.0
-0.0,-0.06,360.0,74.0,123.0,0.0,0.0,77.0
-0.0,-0.0,360.0,70.0,122.0,0.0,0.0,81.0
-0.0,0.35,360.0,76.0,123.0,0.0,0.0,77.0
0.05,0.53,144.07,75.0,124.0,0.0,0.0,79.0
-0.16,1.79,0.29,73.0,125.0,0.0,0.0,80.0
-0.18,4.56,0.54,73.0,125.0,0.0,0.0,88.0
-0.22,8.54,0.69,76.0,129.0,0.0,0.0,103.0
-0.28,12.82,0.73,75.0,129.0,0.0,0.0,147.0
-0.35,18.47,0.79,75.0,124.0,0.0,0.0,178.0
-0.46,25.23,0.96,74.0,127.0,0.0,0.0,218.0
-0.59,32.84,1.06,74.0,129.0,0.0,0.0,278.0
-0.74,40.64,1.14,76.0,132.0,0.0,0.0,363.0
-0.94,50.16,1.23,76.0,135.0,0.0,0.0,486.0
-1.2,61.64,1.38,79.0,136.0,0.0,0.0,633.0
-1.49,72.61,1.71,76.0,139.0,0.0,0.0,781.0
-1.93,86.22,2.01,80.0,143.0,0.0,0.0,899.0
-2.4,98.63,2.26,81.0,143.0,0.0,0.0,973.0
-2.96,112.18,2.57,83.0,148.0,0.0,0.0,0.0
-3.8,130.11,2.78,84.0,150.0,0.0,0.0,0.0
-4.55,145.62,2.72,83.0,148.0,0.0,0.0,0.0
-5.34,162.46,2.66,84.0,155.0,0.0,0.0,0.0
